id,name,ne_lat,ne_long,sw_lat,sw_long
1,North America,83.9702561,-8.2617199,5.4960999,170.5957
2,South America,17.6606999,-28.650543,-56.1455,-110.0281
3,Central America,18.4959419,-77.1584879,5.4960999,-92.2714
4,Africa,37.5359,63.808593,-47.1313489,-25383911
5,Europe,82.1673907,74.3555001,34.5428,-31.4647999
6,Middle East,42.3666999,63.3333366,11.7975,24.696775
7,Asia,81.9661865,-168.97788,-12.2118513,25.5886467
8,Australia,-9.1870264,159.8337658,-54.83376578,110.9510339
9,Oceania,20.6584862,-124.5410156,-54.8337658,110.9510339
10,Antarctica,-60.1086999,180,-90,-180
11,Arctic,83.970256,180,51.175092,-180
12,Pacific Ocean,59.4822293,-66.5190814,-85.5827636,128.576489
13,Atlantic Ocean,68.6187516,20.0000002,-83.02044773,-83.2160952
14,Indian Ocean,10.4233683,146.9166667,-71.4421996,13.2420357
15,Arctic Ocean,67.7034293,-55.8845072,62.8298713,-68.9751267
16,Southern Ocean,-68.43391245,-160.2180385,-68.4421138,-160.2500533
